LocomotionID,PrimateID,LMTypeCd,Checked,PctOfTime,CitationID,Comment,OrigIDPhysical,AuthorAddStamp,AuthorEditStamp,AuthorReviewStamp,AuthorIsDupeStamp,AdminReviewStamp
194,83,SUSP,-1,,1593,,4041,,,7/4/2009,,
195,84,CLIM,-1,48.9,1630,,3628,,,,,
196,84,QUAD,-1,43.6,1630,,3628,,,,,
197,84,SUSP,-1,8.9,1630,,3628,,,,,
198,85,CLIM,-1,,1660,,4037,,,5/28/2009,,
199,85,QUAD,-1,,1660,,4037,,,5/28/2009,,
200,85,SUSP,-1,,1660,,4037,,,5/28/2009,,
201,85,CLIM,-1,,1661,,4038,,,5/28/2009,,
202,85,QUAD,-1,,1661,,4038,,,5/28/2009,,
203,85,SUSP,-1,,1661,,4038,,,5/28/2009,,
204,86,CLIM,-1,,1699,,2518,,,7/2/2009,,
205,86,QUAD,-1,,1699,,2518,,,5/28/2009,,
206,86,SUSP,-1,,1699,,2518,,,5/28/2009,,
207,86,CLIM,-1,,1700,,2519,,,5/28/2009,,
208,86,QUAD,-1,,1700,,2519,,,5/28/2009,,
209,86,SUSP,-1,,1700,,2519,,,5/28/2009,,
210,87,BIPE,-1,,1740,,5591,,,,,
211,87,CLIM,-1,40,1755,,5591,,,,,
212,87,LEAP,-1,20,1740,,5591,,,,,
213,87,QUAD,-1,40,1740,,5591,,,,,
214,87,BIPE,-1,,1742,,5592,,,,,
215,87,CLIM,-1,40,1756,,5592,,,,,
216,87,LEAP,0,20,1742,,5592,,,,,
217,87,QUAD,0,40,1742,,5592,,,,,
218,87,BIPE,-1,,1755,,5593,,,,,
219,87,LEAP,0,20,1755,,5593,,,,,
220,87,QUAD,0,40,1755,,5593,,,,,
221,87,BIPE,-1,,1756,,5594,,,,,
222,87,LEAP,0,20,1756,,5594,,,,,
223,87,QUAD,0,40,1756,,5594,,,,,
224,88,CLIM,-1,,,,1819,,,,,
225,88,LEAP,-1,,,,1819,,,,,
226,88,QUAD,-1,,,,1819,,,,,
227,89,CLIM,-1,,,,1832,,,,,
228,89,LEAP,-1,,,,1832,,,,,
229,89,QUAD,-1,,,,1832,,,,,
230,90,CLIM,-1,,,,1828,,,,,
231,90,LEAP,-1,,,,1828,,,,,
232,90,QUAD,-1,,,,1828,,,,,
233,91,BIPE,-1,,1860,hops when on the ground,1278,,,,,
234,91,LEAP,-1,,1860,,1278,,,,,
235,91,QUAD,-1,,1860,,1278,,,,,
236,91,VERT,-1,,1860,,1278,,,,,
237,92,BIPE,-1,,1872,hops when on the ground,1476,,,,,
238,92,LEAP,-1,,1872,,1476,,,,,
239,92,QUAD,-1,,1872,,1476,,,,,
240,92,VERT,-1,,1872,,1476,,,,,
241,92,BIPE,0,,1863,hops when on the ground,1477,,,,,
242,92,LEAP,0,,1863,,1477,,,,,
243,92,QUAD,0,,1863,,1477,,,,,
244,92,VERT,0,,1863,,1477,,,,,
245,92,BIPE,0,,1895,hops when on the ground,1478,,,,,
246,92,LEAP,0,,1895,,1478,,,,,
247,92,QUAD,0,,1895,,1478,,,,,
248,92,VERT,0,,1895,,1478,,,,,
249,93,BIPE,-1,,1905,hops when on the ground,1603,,,,,
250,93,LEAP,-1,,1905,,1603,,,,,
251,93,QUAD,-1,,1905,,1603,,,,,
252,93,VERT,-1,,1905,,1603,,,,,
253,93,BIPE,0,,1906,,1604,,,,,
254,95,CLIM,-1,,1973,,52,,,6/14/2009,,
255,95,LEAP,-1,,1973,,52,,,6/14/2009,,
256,95,QUAD,-1,,1973,,52,,,6/14/2009,,
