MonkeyNumberGroves,NumberIn96Edition,ReferenceFullSpecies,SuppressTaxa,SpeciesInNewGroves,sp_nov,ONly in IUCN,Superfamily,Suborder,Ifraorder,Family,Subfamily,Tribe,Genus,Subgenus,Species-group,Species,Subspecies,Describer,YearDescribed,LatinName
1382,,,0,1,0,1,Ceboidea,Anthropoidea/Haplorrhini,Platyrrhini,Atelidae,Atelinae,,Lagothrix,,,lagothricha,,Humboldt,1812,Lagothrix lagothricha
1383,,,0,1,0,1,Ceboidea,Anthropoidea/Haplorrhini,Platyrrhini,Callitrichidae,Callitrichinae,,Mico,,,humilis,,Van Roosmalen,1998,Mico humilis
1384,,1254,0,0,0,0,Ceboidea,Anthropoidea/Haplorrhini,Platyrrhini,Cebidae,Cebinae,,Cebus,,,versicolor,versicolor,Pucheran,1845,Cebus versicolor versicolor
1385,,1254,0,0,0,0, Ceboidea,Anthropoidea/Haplorrhini,Platyrrhini,Cebidae,Cebinae,,Cebus,,,versicolor,cesarae,Hershkovitz,1949,Cebus versicolor cesarae
1386,,,0,1,0,1, Ceboidea,Anthropoidea/Haplorrhini,Platyrrhini,Cebidae,Cebinae,,Cebus,,,castaneus,, Geoffrey,1851,Cebus castaneus
1387,,1294,0,0,0,1,Ceboidea,Anthropoidea/Haplorrhini,Platyrrhini,Cebidae,Saimiriinae,,Saimiri,,,cassiquiarensis,macrodon,Elliot,1907,Saimiri cassiquiarensis macrodon
1388,,,0,1,0,1,Ceboidea,Anthropoidea/Haplorrhini,Platyrrhini,Cebidae,Saimiriinae,,Saimiri,,,collinsi,,Osgood,1916,Saimiri collinsi
1389,,,0,1,0,1,Ceboidea,Anthropoidea/Haplorrhini,Platyrrhini,Cebidae,Saimiriinae,,Saimiri,,,boliviensis,,I. Geoffroy and Blainville,1834,Saimiri boliviensis
1390,,,0,1,0,0,Ceboidea,Anthropoidea/Haplorrhini,Platyrrhini,Cebidae,Saimiriinae,,Saimiri,,,sciureus,,Linnaeus,1758,Saimiri sciureus
1391,,1382,0,0,0,1,Ceboidea,Anthropoidea/Haplorrhini,Platyrrhini,Atelidae,Atelinae,,Lagothrix,,,lagothricha,tschudii, Pucheran, Pucheran,Lagothrix lagothricha tschudii
1392,,1211,0,0,0,1,Ceboidea,Anthropoidea/Haplorrhini,Platyrrhini,Cebidae,Cebinae,,Sapajus,,,nigritus,nigritus,Goldfuss,1809,Sapajus nigritus nigritus
1393,,1211,0,0,0,1,Ceboidea,Anthropoidea/Haplorrhini,Platyrrhini,Cebidae,Cebinae,,Sapajus,,,nigritus,cucullatus,Spix,1823,Sapajus nigritus cucullatus
1394,,,0,1,0,1,Ceboidea,Anthropoidea/Haplorrhini,Platyrrhini,Cebidae,Cebinae,,Cebus,,,albifrons,,Humboldt,1812,Cebus albifrons
1395,,,0,1,0,1,Ceboidea,Anthropoidea/Haplorrhini,Platyrrhini,Cebidae,Cebinae,,Cebus,,,trinitatis,,von Pusch,1941,Cebus trinitatis
1396,,,1,0,1,0,Cercopithecoidea,Anthropoidea/Haplorrhini,Catarrhini,Cercopithecidae,Cercopithecinae,,Cercopithecus,,,salongo,,,,Cercopithecus salongo
1397,,,0,1,1,0,Cheirogaleoidea,Prosimi/Strepsirrhini,Lemuriformes,Cheirogaleidae,Cheirogaleinae,,Microcebus,,,ganzhorni,,and Weisrock D.,2016,Microcebus ganzhorni
1398,,,0,1,1,0,Cheirogaleoidea,Prosimii/Strepsirrhini,Lemuriformes,Cheirogaleidae,Cheirogaleinae,,Microcebus,,,boraha,,"Hotaling S, Foley M, Lawrence N, Bocanegra J, Blanco M, Rasoloarison R, Kappeler P, Barrett M, Yoder A and Weisrock D.",2016,Microcebus boraha
1399,,,0,1,1,0,Cheirogaleoidea,Lemuriformes,Prosimii/Strepsirrhini,Cheirogaleidae,Cheirogaleinae,,Microcebus,,,manitatra,,"Hotaling S, Foley M, Lawrence N, Bocanegra J, Blanco M, Rasoloarison R, Kappeler P, Barrett M, Yoder A and Weisrock D.",2016,Microcebus manitatra
1400,,,0,1,0,1,Ceboidea,Anthropoidea/Haplorrhini,Platyrrhini,Pitheciidae,Callicebinae,,Cheracebus,,,lucifer,,Thomas,1914,Cheracebus lucifer
1401,,,0,1,0,1,Ceboidea,Anthropoidea/Haplorrhini,Platyrrhini,Pitheciidae,Callicebinae,,Cheracebus,,,lugens,,1811,Humboldt,Cheracebus lugens
1402,,,0,1,0,1,Ceboidea,Anthropoidea/Haplorrhini,Platyrrhini,Pitheciidae,Callicebinae,,Cheracebus,,,medemi,,Herskovitz,1963,Cheracebus medemi
1403,,,0,1,0,1,Ceboidea,Anthropoidea/Haplorrhini,Platyrrhini,Pitheciidae,Callicebinae,,Cheracebus,,,purinus,,Thomas,1927,Cheracebus purinus
1404,,,0,1,0,1,Ceboidea,Anthropoidea/Haplorrhini,Platyrrhini,Pitheciidae,Callicebinae,,Cheracebus,,,regulus,,Thomas,1927,Cheracebus regulus
1405,,,0,1,0,1,Ceboidea,Anthropoidea/Haplorrhini,Platyrrhini,Pitheciidae,Callicebinae,,Cheracebus,,,torquatus,,Hoffmannsegg,1807,Cheracebus torquatus
1406,,,0,1,0,1,Ceboidea,Anthropoidea/Haplorrhini,Platyrrhini,Pitheciidae,Callicebinae,,Plecturocebus,,,aureipalatii,,"Wallace, Gómez, A Felton, A. M. Felton",2006,Plecturocebus aureipalatii
1407,,,0,1,0,1,Ceboidea,Anthropoidea/Haplorrhini,Platyrrhini,Pitheciidae,Callicebinae,,Plecturocebus,,,baptista,,Lonnberg,1939,Plecturocebus baptista
1408,,,0,1,0,1,Ceboidea,Anthropoidea/Haplorrhini,Platyrrhini,Pitheciidae,Callicebinae,,Plecturocebus,,,bernhardi,,"MGM van Roosmalen, T, van Roosmalen and Mittermeier",2002,Plecturocebus bernhardi
1409,,,0,0,0,1,Ceboidea,Anthropoidea/Haplorrhini,Platyrrhini,Pitheciidae,Callicebinae,,Plecturocebus,,,brunneus,,Wagner,1842,Plecturocebus brunneus
1410,,,0,0,0,1,Ceboidea,Anthropoidea/Haplorrhini,Platyrrhini,Pitheciidae,Callicebinae,,Plecturocebus,,,caligatus,,Wagner,1842,Plecturocebus caligatus
1411,,,0,1,0,1,Ceboidea,Anthropoidea/Haplorrhini,Platyrrhini,Pitheciidae,Callicebinae,,Plecturocebus,,,caquetensis,,"Defler, Bueno, and Garcia",2010,Plecturocebus caquetensis
1412,,,0,1,0,1,Ceboidea,Anthropoidea/Haplorrhini,Platyrrhini,Pitheciidae,Callicebinae,,Plecturocebus,,,cinerascens,,Spix,1823,Plecturocebus cinerascens
1413,,,0,1,0,1,Ceboidea,Anthropoidea/Haplorrhini,Platyrrhini,Pitheciidae,Callicebinae,,Plecturocebus,,,cupreus,,Spix,1823,Plecturocebus cupreus
1414,,,0,1,0,1,Ceboidea,Anthropoidea/Haplorrhini,Platyrrhini,Pitheciidae,Callicebinae,,Plecturocebus,,,discolor,,I. Geoffrey and Deville,1848,Plecturocebus discolor
1415,,,0,1,0,1,Ceboidea,Anthropoidea/Haplorrhini,Platyrrhini,Pitheciidae,Callicebinae,,Plecturocebus,,,donacophilus,,d'Orbigny,1836,Plecturocebus donacophilus
